# ----------------------------------------,,,,,,
# Firebase overview,,,,,,
# ----------------------------------------,,,,,,
# How are active users trending?,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Nth day,30 days,7 days,1 day,,,
Completed_Task,119915,,,,,
screen_view,118963,,,,,
coins_acquired,113585,,,,,
Homepage_Gameplay,112936,,,,,
session_start,93440,,,,,
Match3_Level,69897,,,,,
level_up,69795,,,,,
login,41186,,,,,
Gameplay_PreFailed_Lose1Life,33320,,,,,
Homepage_Episodes,31329,,,,,
first_open,24629,,,,,
Gameplay_Settings,24329,,,,,
Match3_Level_Failed,24326,,,,,
level_end,23248,,,,,
Gameplay_BoosterOptions_BlenderBlades,23187,,,,,
Homepage_Leaderboard,22711,,,,,
Gameplay_Settings_Home,22173,,,,,
fail,19056,,,,,
Settings_Music,17495,,,,,
Settings_Sound,16560,,,,,
app_remove,14559,,,,,
Homepage_Settings,14391,,,,,
Claimed_Daily_Bonus,11621,,,,,
Gameplay_BoosterOptions_Cancel,11251,,,,,
Homepage_Camera,10979,,,,,
Homepage_Profile,10492,,,,,
Shop_Open,9226,,,,,
Gameplay_Settings_Continue,8941,,,,,
Gameplay_Hammer,8656,,,,,
Gameplay_Settings_Music,7336,,,,,
Homepage_Lives,7314,,,,,
Complete_Episode,6635,,,,,
Camera_Share,6609,,,,,
Gameplay_Settings_Sound,6572,,,,,
Daily_Bonus_Streak,5194,,,,,
Streak_Lost_Cancel,5191,,,,,
ad_impression,4644,,,,,
gender_selection,4147,,,,,
Camera_Cancel,4108,,,,,
Obtained_ExtraKeys_WithGems,2603,,,,,
ad_reward,2485,,,,,
Gameplay_BoosterOptions_200Coins,1998,,,,,
Gameplay_Failed_WatchAds,1895,,,,,
Gameplay_Failed_Cancel,1725,,,,,
Gameplay_PreFailed_PayForExtraMoves,1542,,,,,
ad_type,1433,,,,,
Settings_Profile_Edit,1076,,,,,
Gameplay_Wheelbarrow,906,,,,,
Homepage_Coins,844,,,,,
Settings_Profile_Save,809,,,,,
match3_level,692,,,,,
Obtained_ExtraKeys_ByWatchingAnAD,664,,,,,
Gameplay_ExtraMoves_Boosters,376,,,,,
iap_purchase_failed,355,,,,,
os_update,310,,,,,
Opted_For_NoExtraKeys,277,,,,,
ad_click,226,,,,,
Homepage_Achievements,216,,,,,
app_clear_data,208,,,,,
Gameplay_BoosterOptions_WatchAD,185,,,,,
offer_shown,180,,,,,
Gameplay_Failed_900Coins,158,,,,,
Gameplay_Rocket,135,,,,,
app_update,114,,,,,
Match3_level,112,,,,,
Claimed_Daily_Bonus_Progress_Gift,100,,,,,
CutScene,92,,,,,
Gameplay_ExtraTime_Boosters,76,,,,,
Gameplay_Win_Continue,44,,,,,
Homepage_MiniGame,42,,,,,
offer_thumbnail_clicked,37,,,,,
purchase_successful,37,,,,,
Gameplay_MiniGame_Play,36,,,,,
obtained_extramoves_withgems,34,,,,,
completed_game,30,,,,,
offer_accepted,29,,,,,
Achievements_Cancel,27,,,,,
homepage_settings,23,,,,,
obtained_extratime_withgems,16,,,,,
offer_accepted_successful,15,,,,,
Gameplay_MiniGame_Cancel,5,,,,,
Save_Progress_Google,4,,,,,
in_app_purchase,4,,,,,
obtained_extramoves_bywatchinganad,2,,,,,
obtained_extratime_bywatchinganad,2,,,,,
JungleExpedition_Complete,1,,,,,
Notify_New_Episodes,1,,,,,
SafariRace_Complete,1,,,,,
,,,,,,
# What are your top performing key events?,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Event name,Key events,,,,,
session_start,92115,,,,,
first_open,24629,,,,,
,,,,,,
#,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Country ID,Active users,,,,,
AE,4,,,,,
AO,29,,,,,
AT,4,,,,,
AU,9,,,,,
BE,2,,,,,
BF,8,,,,,
BJ,3,,,,,
BR,13,,,,,
BS,1,,,,,
BW,2,,,,,
CA,85,,,,,
CD,79,,,,,
CG,7,,,,,
CH,1,,,,,
CI,73,,,,,
CM,324,,,,,
CN,7,,,,,
CO,4,,,,,
CV,1,,,,,
CZ,1,,,,,
DE,135,,,,,
DK,2,,,,,
DO,2,,,,,
DZ,6,,,,,
EG,5,,,,,
ES,16,,,,,
ET,2,,,,,
FI,1,,,,,
FJ,1,,,,,
FR,71,,,,,
GA,3,,,,,
GB,32,,,,,
GH,5139,,,,,
GM,33,,,,,
GN,2,,,,,
GQ,2,,,,,
GR,2,,,,,
GY,1,,,,,
HU,32,,,,,
ID,112,,,,,
IE,3,,,,,
IL,15,,,,,
IN,1,,,,,
IQ,1,,,,,
IR,1,,,,,
IT,2,,,,,
JM,3,,,,,
KE,8683,,,,,
KI,1,,,,,
KN,1,,,,,
KW,1,,,,,
LB,1,,,,,
LC,2,,,,,
LR,1,,,,,
LS,1,,,,,
MG,2,,,,,
ML,28,,,,,
MN,3,,,,,
MU,1,,,,,
MW,2,,,,,
MZ,2,,,,,
NA,1,,,,,
NE,2,,,,,
NG,8325,,,,,
NI,1,,,,,
NL,25,,,,,
NO,1,,,,,
NP,1,,,,,
NZ,1,,,,,
OM,1,,,,,
PE,1,,,,,
PH,4,,,,,
PK,8,,,,,
PL,3,,,,,
PT,7,,,,,
RE,1,,,,,
RU,1,,,,,
RW,5,,,,,
SA,2,,,,,
SC,1,,,,,
SE,1,,,,,
SG,3,,,,,
SL,5,,,,,
SN,1959,,,,,
SO,2,,,,,
SR,1,,,,,
SS,2,,,,,
TD,2,,,,,
TG,7,,,,,
TH,1,,,,,
TN,5,,,,,
TR,10,,,,,
TT,6,,,,,
TZ,1319,,,,,
UA,3,,,,,
UG,1725,,,,,
US,132,,,,,
UY,1,,,,,
VG,1,,,,,
VN,1,,,,,
YE,1,,,,,
ZA,2206,,,,,
ZM,6,,,,,
ZW,2187,,,,,
,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Country,Active users,,,,,
KE,8683,,,,,
NG,8325,,,,,
GH,5139,,,,,
ZA,2206,,,,,
ZW,2187,,,,,
SN,1959,,,,,
UG,1725,,,,,
,,,,,,
#,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Device model,Active users,,,,,
SM-A055F,1813,,,,,
SM-A065F,668,,,,,
SM-A032F,650,,,,,
2409BRN2CA,547,,,,,
BF6,504,,,,,
KL4,480,,,,,
X6525,416,,,,,
SM-A042F,396,,,,,
KJ5,378,,,,,
BG6m,365,,,,,
BG6,348,,,,,
SM-A155F,336,,,,,
KL5,324,,,,,
KI5k,314,,,,,
SM-A057F,305,,,,,
SM-A165F,303,,,,,
A665L,296,,,,,
X6516,267,,,,,
X6528,262,,,,,
24048RN6CG,235,,,,,
SM-A145F,228,,,,,
X20,219,,,,,
23106RN0DA,208,,,,,
SM-X115,196,,,,,
X6532C,193,,,,,
SM-A135F,188,,,,,
X6525D,182,,,,,
SM-A127F,170,,,,,
C22,163,,,,,
23129RN51X,161,,,,,
KG5j,155,,,,,
X669,152,,,,,
A669L,148,,,,,
SM-A047F,146,,,,,
25028RN03A,145,,,,,
BF7,145,,,,,
V2332,140,,,,,
C32,137,,,,,
Neon Ray Ultra,129,,,,,
SM-A125F,126,,,,,
BG6i,124,,,,,
A667L,122,,,,,
KC8,112,,,,,
SM-T295,108,,,,,
CI6,104,,,,,
SM-T225N,102,,,,,
RMX3834,100,,,,,
CPH2641,97,,,,,
CK6,95,,,,,
X6531B,94,,,,,
CG6,93,,,,,
JKM-LX1,93,,,,,
SM-A022F,90,,,,,
KI7,86,,,,,
SM-A235F,85,,,,,
S665L,84,,,,,
X6531,84,,,,,
CPH2591,82,,,,,
A662LM,81,,,,,
X6532,79,,,,,
M2006C3LG,78,,,,,
Z2453,77,,,,,
KD7,76,,,,,
SM-A035F,76,,,,,
STK-L21,76,,,,,
X650B,75,,,,,
SM-A107F,74,,,,,
2409BRN2CG,73,,,,,
A671L,73,,,,,
SM-A225F,73,,,,,
KE5,72,,,,,
A663L,71,,,,,
CPH2471,71,,,,,
X657C,70,,,,,
X6517,69,,,,,
KF6i,68,,,,,
X688B,68,,,,,
A512W,65,,,,,
A662L,65,,,,,
KF7j,65,,,,,
SM-A217F,64,,,,,
SM-A325F,64,,,,,
SM-A045F,63,,,,,
SM-A105F,63,,,,,
23028RNCAG,61,,,,,
SM-A037F,60,,,,,
SM-A245F,60,,,,,
S663L,59,,,,,
P662L,58,,,,,
DUB-LX1,56,,,,,
SM-X205,56,,,,,
SM-X216B,56,,,,,
X6725,56,,,,,
22120RN86G,55,,,,,
CPH1923,54,,,,,
V651W,54,,,,,
C31,52,,,,,
CC7,51,,,,,
K15q,50,,,,,
KH6,50,,,,,
X6511B,50,,,,,
X665,50,,,,,
X657B,48,,,,,
A666L,47,,,,,
X682B,47,,,,,
X683,47,,,,,
23129RAA4G,46,,,,,
KG5p,46,,,,,
SM-A515F,46,,,,,
SM-A115F,45,,,,,
Neon Ray Ultra M,44,,,,,
RMX3690,44,,,,,
SM-A025F,44,,,,,
W6004,44,,,,,
GFY-LX2,43,,,,,
M2006C3MG,42,,,,,
X6716B,41,,,,,
X6816,41,,,,,
23053RN02A,40,,,,,
KG5k,40,,,,,
220733SFG,39,,,,,
G21,39,,,,,
LE6,39,,,,,
TA-1357,39,,,,,
KG6,38,,,,,
SM-A256E,38,,,,,
iPhone XR,38,,,,,
WDY-LX2,37,,,,,
CD7,36,,,,,
CPH2185,36,,,,,
Moto E13,36,,,,,
PR652B,36,,,,,
Neon Ray Pro,35,,,,,
SM-A137F,35,,,,,
X6835B,35,,,,,
220333QAG,34,,,,,
CPH2015,34,,,,,
CPH2579,34,,,,,
BC2c,33,,,,,
CPH1803,33,,,,,
SM-A145R,33,,,,,
SM-X210,33,,,,,
X693,33,,,,,
220233L2G,32,,,,,
23028RN4DG,32,,,,,
CL6K,32,,,,,
Moto E14,32,,,,,
SM-A205F,32,,,,,
SM-A315F,32,,,,,
V2430,32,,,,,
X665B,32,,,,,
X665C,32,,,,,
23021RAAEG,31,,,,,
